| input len | real FFTPack |real FFTWestim|real FFTWauto |  real  Green |  real   Kiss | real PFFFT-U |  real  PFFFT | cplx FFTPack |cplx FFTWestim|cplx FFTWauto |  cplx  Green |  cplx   Kiss | cplx PFFFT-U |  cplx  PFFFT |
|----------:|-------------:|-------------:|-------------:|-------------:|-------------:|-------------:|-------------:|-------------:|-------------:|-------------:|-------------:|-------------:|-------------:|-------------:|
|        2  |        206   |        535   |        486   |        729   |        178   |         61   |         56   |        356   |        474   |       1044   |       1566   |        712   |        186   |        174   |
|        4  |        557   |       1737   |       1737   |       2539   |        802   |        243   |        223   |        783   |       1826   |       3261   |       3653   |       2087   |        913   |        652   |
|        8  |        802   |       3341   |       3608   |       3608   |       1737   |        729   |        668   |       1044   |       2740   |       5610   |       4827   |       1566   |       2740   |       2087   |
|       16  |       1871   |       5078   |       5612   |       4410   |       1737   |       1871   |       1737   |       2870   |       5479   |       5871   |       1957   |       2740   |       6653   |       5740   |
|       32  |       2405   |       3341   |       5612   |       2004   |       2405   |       4944   |       4677   |       3131   |       7306   |      14872   |       2609   |       2348   |       8480   |       6914   |
|       64  |       3474   |       4142   |       6280   |       2806   |       2272   |       7616   |       6280   |       4305   |      20481   |      16567   |       3783   |       3261   |      10958   |       9262   |
|      128  |       4409   |       5612   |       8150   |       3340   |       2939   |       9754   |       8952   |       5088   |      20351   |      22700   |       3261   |       2870   |      13437   |       9915   |
|      256  |       4142   |       8018   |      10824   |       3207   |       2806   |      12962   |      11225   |       5217   |      25301   |      27127   |       3652   |       3130   |      13694   |      12259   |
|      512  |       4809   |       9218   |      10821   |       3206   |       3073   |      14161   |      14027   |       5084   |      26331   |      27895   |       3911   |       3259   |      14339   |      12383   |
|     1024  |       4935   |       8669   |      11736   |       3601   |       2801   |      17471   |      17071   |       5086   |      27257   |      25562   |       3652   |       3652   |      15780   |      14737   |
|     2048  |       5068   |       9869   |      13470   |       3468   |       3201   |      14404   |      15604   |       5190   |      26990   |      24136   |       4023   |       3244   |      12068   |      12327   |
|     4096  |       4888   |      10041   |      n/a     |       3303   |       3303   |      15458   |      13212   |       5030   |      19604   |      n/a     |       3869   |       3482   |      12769   |      11479   |
|     8192  |       4386   |       9038   |      n/a     |       3190   |       3323   |      12360   |      11563   |       5180   |      12432   |      n/a     |       3237   |       3108   |      11655   |      10489   |
|    16384  |       4492   |       9645   |      n/a     |       3171   |       3171   |      13476   |      12684   |       4110   |      14563   |      n/a     |       3523   |       3288   |      12684   |      11627   |
|    32768  |       4278   |       8431   |      n/a     |       3523   |       3272   |      12709   |      11576   |       4782   |      13715   |      n/a     |       3397   |       2768   |      10066   |       9186   |
|    65536  |       4228   |       7348   |      n/a     |       3121   |       2718   |       9160   |       9362   |       4362   |      11140   |      n/a     |       3221   |       2751   |      10133   |       9462   |
|   131072  |       3779   |       6417   |      n/a     |       3137   |       2567   |       8129   |       8628   |       4278   |      10695   |      n/a     |       3137   |       2282   |       8842   |       8699   |
|   262144  |       3624   |       7097   |      n/a     |       3020   |       2265   |       9211   |       7852   |       3624   |       9664   |      n/a     |       3020   |       1922   |       9362   |       8758   |
|   524288  |       2869   |       6694   |      n/a     |       2869   |       1913   |       9244   |       7969   |       3188   |       3188   |      n/a     |       2550   |       1366   |       6375   |       6375   |
|  1048576  |       3355   |       6711   |      n/a     |       2440   |       1342   |       6711   |       6040   |       3355   |       3355   |      n/a     |       2684   |       1342   |       6711   |       6101   |
