| input len | real FFTPack |real FFTWestim|real FFTWauto |  real  Green |  real   Kiss | real PFFFT-U |  real  PFFFT | cplx FFTPack |cplx FFTWestim|cplx FFTWauto |  cplx  Green |  cplx   Kiss | cplx PFFFT-U |  cplx  PFFFT |
|----------:|-------------:|-------------:|-------------:|-------------:|-------------:|-------------:|-------------:|-------------:|-------------:|-------------:|-------------:|-------------:|-------------:|-------------:|
|       96  |       3062   |       3480   |       8073   |       2088   |       1810   |       7795   |       7934   |       4199   |      18704   |      14633   |       2290   |       1654   |      11324   |       9161   |
|      160  |       3979   |       7825   |       7560   |       1857   |       1459   |       9682   |       9019   |       4365   |      20247   |      24975   |       1940   |       1576   |      11760   |      10063   |
|      192  |       3985   |       7284   |       8246   |       2199   |       1787   |      11544   |      10170   |       4272   |      21610   |      19348   |       2387   |       2262   |      13192   |      10428   |
|      384  |       4219   |       7485   |       8029   |       2313   |       2177   |      12520   |      11431   |       4847   |      22369   |      26842   |       2734   |       1864   |      12924   |      11060   |
|      480  |       4236   |       8612   |      10024   |       3106   |       2824   |      13836   |      12283   |       4382   |       9537   |      14821   |       3608   |       2449   |      12630   |      10825   |
|      640  |       4466   |       8538   |      10902   |       2102   |       1576   |      12741   |      12741   |       4796   |      24578   |      23259   |       1918   |       2158   |      13308   |      11510   |
|      768  |       4184   |       8638   |      11743   |       2565   |       1890   |      14712   |      13633   |       4197   |      13948   |      25551   |       2345   |       1975   |      14071   |      12220   |
|      800  |       4345   |       9912   |      10455   |       2444   |       1901   |      15072   |      12492   |       4338   |      14624   |      15492   |       2355   |       2479   |      13509   |      10287   |
|     2400  |       3751   |       7761   |      n/a     |       2070   |       1164   |      10995   |      13582   |       4222   |      11142   |      n/a     |       1525   |       1759   |      11376   |      10790   |
|     9216  |       4101   |       7818   |      n/a     |       1666   |       1666   |      12817   |      12433   |       4311   |      10254   |      n/a     |       1631   |       1748   |       9671   |      10137   |
